,planes
0,{'800b05': ['BDA403']}
1,{'8006fc': [nan]}
2,"{'8004fd': ['AIC640', 'AIC639', 'AIC265']}"
3,{'8004fb': [nan]}
4,{'8004b8': ['SEJ442']}
5,"{'800b14': ['IGO427', 'IGO428']}"
6,{'800549': ['GOW283']}
7,{'80015a': [nan]}
8,{'8001d9': ['SEJ871']}
9,"{'800afb': ['JAI256', 'JAI255']}"
10,{'800af0': ['IGO516']}
11,"{'8005dd': ['IGO421', 'IGO356']}"
12,{'4007f1': ['BAW118']}
13,{'80070f': ['SEJ291']}
14,"{'80047b': ['AIC515', 'AIC517']}"
15,"{'8007f7': ['GOW321', 'GOW116']}"
16,{'800603': ['IGO545']}
17,{'80068b': ['IGO111']}
18,{'800647': ['SEJ502']}
19,"{'8004cd': ['JAI2735', 'JAI2400', 'JAI2755']}"
20,{'800b1a': ['JAI405']}
21,"{'80052e': ['AIC667', 'AIC668']}"
22,"{'8005b8': ['SEJ281', 'SEJ282']}"
23,{'8006fe': [nan]}
24,{'800595': ['IGO126']}
25,"{'80053d': ['AIC603', 'AIC604']}"
26,{'8007f2': ['JAI489']}
27,{'80003d': ['AIC263']}
28,"{'89609b': ['UAE544', 'UAE545']}"
29,"{'800af9': ['JAI411', 'JAI412']}"
30,"{'800657': ['SEJ1073', 'SEJ1074']}"
31,"{'8007b7': ['LEP666', 'LEP664', 'LEP703']}"
32,{'06a024': [nan]}
33,{'800408': [nan]}
34,"{'800717': ['IGO411', 'IGO422']}"
35,{'80058a': ['AIC466']}
36,"{'80068a': ['IGO424', 'IGO431', 'IGO432']}"
37,{'3c7063': ['GEC8378']}
38,"{'800712': ['SEJ1031', 'SEJ1032']}"
39,{'70c0a8': ['OMA252']}
40,"{'800655': ['SEJ3301', 'SEJ3302']}"
41,{'896309': [nan]}
42,"{'800af6': ['SEJ227', 'SEJ344', 'SEJ215']}"
43,{'8961a3': ['ETD474']}
44,"{'800656': ['SEJ3022', 'SEJ3303', 'SEJ3304']}"
45,{'80041f': [nan]}
46,"{'800b09': ['IAD1212', 'IAD1123', 'IAD1124']}"
47,{'8007c2': ['JAI2363']}
48,{'800670': ['SEJ3145']}
49,{'773000': [nan]}
50,{'800400': ['AIC570']}
51,{'06a01f': ['QTR956']}
52,{'80015d': [nan]}
53,{'80064f': ['IGO457']}
54,{'800b18': ['GOW395']}
55,"{'8006e8': ['SEJ1046', 'SEJ3313']}"
56,{'80046c': ['JAI824']}
57,"{'8007b3': ['IGO409', 'IGO464']}"
58,"{'89604c': ['UAE564', 'UAE565']}"
59,{'800af4': ['IGO065']}
60,{'8007c9': ['IGO377']}
61,"{'800b2b': ['IGO455', 'IGO118']}"
62,{'80051b': ['IGO315']}
63,"{'8004d9': ['SEJ501', 'SEJ224']}"
64,{'8005fd': ['JAI2612']}
65,{'8004b5': ['IGO376']}
66,{'06a191': ['QTR8882']}
67,{'800b0b': ['GOW348']}
68,{'8003c1': [nan]}
69,"{'800466': ['IGO109', 'IGO102']}"
70,"{'800738': ['AIC803', 'AIC505']}"
71,{'800030': ['AIC976']}
72,{'8960d9': ['UAE346']}
73,{'800488': [nan]}
74,"{'800b0a': ['IAD1323', 'IAD1722']}"
75,{'89407a': ['GFA060']}
76,{'800489': ['JLL4607']}
77,"{'80067f': ['SEJ152', 'SEJ528']}"
78,{'8001dc': ['VTANF']}
79,{'800b11': ['IGO298']}
80,{'75008d': ['MAS8217']}
81,{'8963b1': ['FDB551']}
82,"{'8007c0': ['JAI465', 'JAI466']}"
83,"{'8007c4': ['JAI807', 'JAI2308']}"
84,"{'800617': ['SEJ521', 'SEJ342']}"
85,"{'80068f': ['IGO151', 'IGO452']}"
86,{'8007b8': ['LEP667']}
87,{'800627': ['IGO502']}
88,{'80074d': ['SEJ236']}
89,{'800671': [nan]}
90,{'8007e6': ['LEP696']}
91,"{'8005d5': ['SEJ917', 'SEJ271']}"
92,{'3c4586': ['BOX531']}
93,"{'800af1': ['IGO271', 'IGO433']}"
94,{'8963a5': ['RJD402']}
95,{'800654': [nan]}
96,{'80068e': ['IGO115']}
97,{'8007e7': ['LEP648']}
98,"{'8001d3': ['JAI342', 'JAI450']}"
99,{'8007c8': ['SEJ131']}
100,{'8000c2': [nan]}
101,{'8000c0': [nan]}
102,{'8004f8': ['VTRVL']}
103,{'80062b': [nan]}
104,{'800628': ['IGO155']}
105,{'750204': ['MAS174']}
106,{'8004fa': [nan]}
107,{'8007ef': [nan]}
108,{'06a052': ['QTR845']}
109,{'8004bd': ['AIC671']}
110,{'896310': ['UAE433']}
111,{'80054d': ['IGO238']}
112,{'80068c': ['IGO461']}
113,{'8007f0': ['SEJ451']}
114,{'89620d': ['UAE409']}
115,{'896212': ['UAE345']}
116,{'800538': ['GOW115']}
117,{'80064c': ['IGO465']}
118,{'30003a': ['EXV9141']}
119,{'800624': ['IGO317']}
120,{'800469': [nan]}
121,{'80047c': [nan]}
122,"{'80067c': ['JLL4056', 'JLL4165']}"
123,{'8006e1': ['IGO407']}
124,{'8007dd': [nan]}
125,{'8001e6': ['JLL4238']}
126,{'800031': ['AIC467']}
127,{'06a0aa': ['QTR938']}
128,{'70c0a2': ['OMA253']}
129,{'800589': ['AIC501']}
